English Word,Translation,Part-of-Speech
possible,posible; posible,"{adj} (capable of being done/achieved, feasible); {adj} /ˈpɑsəbl̩/ (able but not certain to happen)"
possibly,posiblemente; posiblemente,{adv} (adverb indicating that an action may successfully be performed); {adv}
possum,,{n} /ˈpɒsəm/ (opossum)
post,"poste {m}, estaca {f}",{n} /poʊst/
postage,franqueo {m}; franqueo {m},{n} (postage stamp affixed as evidence of payment); {n} /ˈpoʊstɪdʒ/ (charge)
postage stamp,"estampilla {f} [Latin America], sello {m} [Spain], [Mexico] timbre {m}",{n} (piece of paper indicating postage has been paid)
postal,postal,{adj} (relating to mail)
postal box,,{n} (post-office box)
postal code,,{n} (postcode)
post box,,{n} (mailbox)
postcard,"tarjeta postal {f}, postal {f}",{n} (rectangular piece of thick paper to be mailed without an envelope)
postcode,código postal {m},{n} /ˈpəʊs(t)kəʊd/ (sequence of letters and/or numbers added to a postal address)
poster,cartel; cartel,"{n} (advertisement); {n} (picture of celebrity etc., to be posted on a wall)"
posterior,"posterior; trasero, posterior; trasero {m}",{adj} (following in order or time); {adj} (located towards the rear); {n} (buttocks)
posterior auricular muscle,músculo auricular posterior {m},{n} (muscle)
posterior chamber,cámara posterior {f},{n} (space between iris and lens)
posterity,posteridad {f},{n} /ˈpɒstɛɹɪti/ (all the future generations)
postern,"portillo {m}, postigo {m}, poterna {f}; poterna {f}",{n}; {n} /ˈpɒst(ə)n/ (secondary gateway)
posthumous,póstumo; póstumo; póstumo,"{adj} (in reference to a work, published after the author's death); {adj} /ˈpɒs.tʃə.məs/ (born after one's father's death); {adj} (taking place after one's death)"
postiche,postizo,{n} /pɑˈstiʃ/ (any item of false hair worn on the head or face)
postimpressionism,postimpresionismo {m},{n} (genre of painting)
postman,,{n} (mailman)
postmark,matasellos {m},{n} (marking made by a postal service on a letter)
postmodernism,"postmodernidad {f}, posmodernismo {m}","{n} (a style of art, literature, etc)"
post office,"correos {m} {p}, casa de correos {f}, oficina de correos {f}",{n} (place)
postpone,"aplazar, postergar, atrasar, perecear, posponer",{v} (to delay or put off an event)
postposition,posposición {f},{n}
postprandial,"posprandial, de sobremesa (at the table), después de comer",{adj} /pəʊstˈprændɪəl/ (after a meal)
postscript,posdata,{n} (addendum to a letter)
post scriptum,posdata {f} or P. D.,{phrase} (after the writing)
poststructuralism,postestructuralismo {m},{n} (extension of structuralism)
posture,postura,{n} /ˈpɑːstʃɚ/ (position of body)
pot,"marihuana {f}; olla {f}, marmita {f}; pote {m}",{n} (marijuana); {n} /pɑt/ (vessel); {n} (vessel for storing food)
potable,potable,{adj} /ˈpoʊ.tə.bɫ/ (good for drinking)
potash,"potasa {f}, lejía {f}",{n} /pɒt.æʃ/ (pot ash)
potassium,potasio {m},{n} (the chemical element)
potassium hydroxide,"hidróxido de potasio {m}, potasa cáustica {f}",{n} (potassium hydroxide)
potato,"patata {f} [Spain], papa {f} [Latin America, Southern Spain and Canary Islands]",{n} /pəˈteɪtoʊ/ (plant tuber eaten as starchy vegetable)
potato salad,ensalada de patatas {f},{n} (salad made from chopped boiled potatoes)
potato starch,"chuño, almidón de patata, harina de patata, fécula de patata",{n}
potbelly,panza {f},"{n} (a large, swollen, or protruding abdomen)"
pot calling the kettle black,"Apártate que me tiznas, dijo la sartén al cazo (Move away, you are blackening me, said the pan to the pot) El burro hablando de orejas (The donkey talking about ears); México: El comál le dijo a la olla (The grill said to the pot); Venezuela: Cachicamo diciéndole a morrocoy conchúo (An armadillo telling a turtle it is too hard shelled); Colombia: Un burro hablando de orejas (A donkey talking about ears); Perú: La olla le dice a la sartén (The pot said to the frying pan); le dijo la sartén al cazo, le dijo la sartén al cazo: ¡aparta que me tiznas!",{n}; {n} /ˈpɑːt ˌkɑːliŋ ðə ˌkɛtəl ˌblæk/ (situation in which somebody accuses someone else of a fault shared by the accuser)
potentate,"líder, potentado, podestá, líder máximo, capo",{n} /ˈpoʊ.tən.teɪt/ (a powerful leader)
potentially,potencialmente,{adv} /pəˈtɛnʃ(ə)li/ (in a manner showing much potential; with the possibility of happening in a given way)
pothead,"marihuanero {m}, motero {m}",{n} (a person who smokes cannabis frequently)
pothole,bache {m},{n} (a hole in a road)
potion,brebaje {m},"{n} /'poʊ.ʃən/ (small portion or dose of a liquid which is medicinal, poisonous, or magical)"
Potiphar,Potiphar,{prop} /ˈpɑ.tə.fɚ/ (an Egyptian and captain of the guard)
potsherd,"tiesto {m}, casco {m}",{n} (piece of ceramic from pottery)
potter,"alfarero {m}, ceramista {m} {f}",{n} /ˈpɒtə/ (One who makes pots and ceramic wares)
potter around,,{v} (to be gently active aimlessly)
pottery,"alfarería {f}; cerámica {f}, loza {f}; alfarería {f}",{n} (practise or craft of making pottery); {n} /ˈpɑːtɚɹi/ (fired ceramic wares that contain clay when formed); {n} (workshop where pottery is made)
potty,,{adj} (insane)
pouch,"bolsa {f}, saquito {m}, petaca {f}, cebador {m}, valija {f}; pouch {m}; marsupio {m} (of a marsupial)",{n}; {n} /paʊt͡ʃ/ (small bag); {n} (pocket in which a marsupial carries its young)
poultice,cataplasma {f},{n} (A poultice or plaster)
poultry,"carne de ave, pollería; aves de corral",{n} (meat); {n} /ˈpoʊltri/ (bird(s))
pound,; perrera {f}; libra {f}; libra {f}; ; pulverizar; pilar,{n} /paʊnd/ (pound-force); {n} (place for the detention of stray animals); {n} (unit of currency); {n} (unit of mass (16 ounces avoirdupois)); {n} (US: symbol #); {v} (crush to pieces); {v} (to strike hard repeatedly)
pound sign,,{n} (symbol #)
pound sterling,libra esterlina {f},{n} /paʊnd ˈstɜː(ɹ).lɪŋ/ (currency of the UK)
pour,"verter; diluviar; verter, escanciar","{v} /pɔːr/ (to cause to flow in a stream); {v} (to flow, pass or issue in or as a stream); {v}"
pour cold water on,,{v} (dismiss an idea)
pour gasoline on the fire,,{v} (add fuel to the fire)
pout,"mohín {m}; hacer un mohín, ponerse de morros","{n} /paʊt/ (facial expression); {v} (sulk, (pretend to) be ill-tempered)"
poverty,"pobreza; pobreza {f}, pauperrísmo {m}",{n} (deficiency of elements); {n} /ˈpɑːvɚti/ (quality or state of being poor)
pow,zas; zas,{interj} (sound of a violent impact); {n} (sound of a violent impact)
powder,"; polvo {m}; pulverizarse, hacerse polvo; reducir a polvo, pulverizar, triturar; espolvorear; ponerse polvos, empolvarse",{n} (gunpowder); {n} /paʊ.də(ɹ)/ (fine particles); {v} (to be reduced to powder); {v} (to reduce to fine particles); {v} (to sprinkle with powder); {v} (to use powder on the hair or skin)
powdered sugar,"azúcar flor, azúcar glas {m}","{n} /ˈpaʊ.dɚd ˈʃʊɡ.ɚ/ (very finely ground sugar used in icings, etc)"
power,"; corriente {f}, electricidad {f}; potencia {f}; potencia {f}; poder {m}; potencia {f}, poder {m}; potencia {f}; poder {m}",{n} (cardinality in set theory); {n} (electricity supply); {n} (mathematics: product of equal factors); {n} (nation having a strong military and/or economy); {n} /ˈpaʊ̯ɚ/ (influence); {n} (physical force or strength); {n} (physics: measure of the rate of doing work or transferring energy); {n}
power cut,corte de electricidad {m},{n} (interruption in the supply of power)
powerful,poderoso,"{adj} (having or capable of exerting power, potency or influence)"
powerfully,poderosamente,{adv} (in a powerful manner)
powerlifting,"potencia {f}, levantamiento de potencia {m}",{n} (strength sport)
power plant,,{n} /paʊɚ plænt/ (power station)
power set,conjunto de partes {m},{n} (set of all subsets of a set)
power station,central eléctrica {f},{n} (an industrial complex where electricity is produced)
power toothbrush,,{n} (electric toothbrush)
powertrain,tren de potencia {m},{n} (powertrain)
Poznań,,{prop} (Poznan)
practicability,"viabilidad {f}, factibilidad {f}",{n} (being practicable)
practicable,"realizable, alcanzable",{adj} /ˈpræktɪkəbl/ (capable of being accomplished; feasible)
practical,"práctico {m}, práctica {f}",{adj} /ˈpræktɪkəl/ (based on practice or action rather than theory or hypothesis)
practicality,"factibilidad {f}, sentido práctico {m}",{n} (state of being practical or feasible)
practical joke,broma pesada {f},{n} (something done for amusement)
practically,prácticamente; prácticamente,"{adv} (almost completely); {adv} (In practice, in effect)"
practice,"práctica {f}; práctica {f}; practicar, entrenar, ejercer; practicar; practicar; practicar; practicar","{n}; {n} (repetition of an activity to improve skill); {v}; {v} (to perform or execute a craft or skill); {v} (to perform or observe in a habitual fashion); {v} (to pursue (a career, especially law, fine art or medicine)); {v} (to repeat an activity as a way of improving one's skill)"
practice makes perfect,La práctica hace al maestro,"{proverb} (if one practices an activity enough, one will eventually master it)"
practise,,{v} /ˈpɹæktɪs/ (practice)
practiser,practicante {m} {f},{n} (one who practises)
praenomen,prenombre {m},{n} (ancient Roman first name)
pragmatic,pragmático,{adj} /præɡˈmætɪk/ (practical)
pragmatics,"pragmática {f}, pragmalingüística {f}",{n} (study of the use of the language in a social context)
pragmatism,pragmatismo {m}; pragmatismo {m},{n} /ˈpɹaɡmətɪzəm/ (pursuit of practicality over aesthetic qualities); {n}
Prague,Praga,{prop} /prɑːɡ/ (capital of the Czech Republic)
prairie,pradera {f},{n} /ˈpɹɛəɹi/ (An extensive area of relatively flat grassland)
praise,alabanza {f}; agradecimiento; adorar; alabar,{n}; {n} /pɹeɪz/ (commendation; favorable representation in words); {n} (worship); {v} (to give praise to)
praiseworthy,encomiable,{adj} /ˈpɻeɪz.wɝ.ði/ (meriting praise)
pram,"cochecito (de bebé) {m}, carrito (de bebé) {m}",{n} /pɹæm/ (perambulator)
prank,"travesura {f}, broma {f}, inocentada {f}, jugarreta",{n} /præŋk/ (practical joke or mischievous trick)
prankster,bromista {m} {f},{n} (one who performs pranks)
praseodymium,praseodimio {m},{n} (chemical element)
prawn,"gamba {f}, camarón {m}",{n} (large shrimp)
pray,"rezar; rogar; orar, rogar",{v} /preɪ/ (to petition a higher being); {v} (to beg humbly for aid); {v} (to talk to God)
prayer,"orador {m}, oradora {f}; oración {f}; rezo, oración; oración {f}",{n} (one who prays); {n} /pɹɛɹ/ (practice of communicating with one's God); {n}; {n} (the specific words or methods used for praying)
prayer beads,rosario {m},{n} (string of beads)
praying mantis,"mantis religiosa {f}, campamocha {f} [Mexico], cerbatana {f} [Venezuela], mamboretá {f} [Argentina, Uruguay], santateresa {f} [Spain], tatadiós {m} [Argentina], triquitesa {f} [Western Spain, specifically Extremadura], usamico {m} [Northwestern Argentina]",{n} (any of various predatory insects of the Mantidae family)
précis,resumen {m},{n} /ˈpreɪsiː/ (concise statement)
preacher,predicador,{n} (one who preaches)
preach to the converted,,{v} (preach to the choir)
preantepenultimate,trasantepenúltimo,{adj} /ˌpɻiˌæntipəˈnəltəmət/ (three before the end; fourth to last)
precariousness,precariedad {f},{n} (state of being uncertain)
precaution,precaución {f},{n}
precautionary,"preventivo, precautorio",{adj}
precede,"preceder, anteceder","{v} /pɹəˈsɪid/ (go before, go in front of)"
precedence,"prioridad {f}, precedencia {f}",{n} /ˈprɛsɪd(ə)ns/ (the state of preceding in importance or priority)
precedent,precedente {m}; precedente {m},{n} /pɹiˈsiː.dənt/ (past act used as example); {n} (prior judgment in law)
precession,precesión,{n} (physics term)
precious,precioso; ,{adj} /ˈprɛʃəs/ (of high value or worth); {adv} (intensifier)
precious metal,metal precioso {m},{n} (metallic element with high economic value)
precious stone,piedra preciosa {f},{n} (gem)
precipice,precipicio {m},{n} /ˈpɹɛs.ə.pɪs/ (a very steep cliff)
precipitate,"tirar abajo, arrojar, precipitar; condensar, precipitar",{v} /prɪˈsɪpɪteɪt/ (To throw an object or person from a great height); {v} (To come out of a liquid solution into solid form)
precipitately,precipitadamente,{adv} (In a precipitate manner)
precipitation,precipitación {f}; precipitación {f} lluvia {f},{n} /prɪ.sɪ.pɪˈteɪ.ʃən/ (chemistry: chemical reaction forming solid in liquid); {n} (weather: water falling from the atmosphere)
precipitously,precipitadamente,{adv} (abruptly)
precise,preciso,{adj} (exact)
precisely,precisamente,{adv} (in a precise manner)
precision,precisión {f},{n} (the state of being precise or exact; exactness)
preclude,descartar,{v} /pɹiːˈkluːd/ (rule out)
precocious,precoz,{adj} /prəˈkəʊʃəs/ (characterized by exceptionally early development or maturity)
precognition,precognición,{n} (knowledge of something that is to occur in the future)
preconception,,{n} (prejudice)
precum,pre-eyacular,{v} (pre-ejaculate)
predator,predador {m},{n} /ˈpre.də.tər/ (any animal or other organism)
predecessor,"predecesor {m}, antecesor {m}",{n} /ˈprɛdəsɛsɚ/ (one who precedes)
predestiny,,{n} (predestination)
predicate,predicado {m}; predicado {m},{n} (logic); {n} /ˈprɛdɪkət/ (grammar)
predict,predecir,"{v} (to state, or make something known in advance)"
predictable,predecible,{adj} /pɹɪˈdɪktəbl̩/ (able to be predicted)
prediction,predicción {f},{n} /pɹɪˈdɪkʃn/ (a statement about the future)
predilection,predilección {f},{n} /ˌpɹɛdəˈlɛkʃn/ (tendency towards)
predisposition,predisposición {f},{n} (the state of being predisposed)
predominant,predominante; predominante,{adj} (common or widespread; prevalent); {adj} (significant or important; dominant)
preemption,"preempción {f}, prevalencia {f}, primacía",{n} (the displacement of a lower jurisdiction's laws when they conflict with those of a higher jurisdiction)
preemptive,preventivo,{adj} /pɹiːˈɛmp.tɪv/
prefabrication,prefabricación {f},{n} (manufacture of prefabricated components)
preface,prefacio {m},{n} (Beginning or introductory portion coming before the main text of a document or book)
prefer,preferir,{v} /pɹɪˈfəː/ (to favor)
preferable,preferible,{adj} /prɛf.rə.bʊl/ (Better than some other option)
preferably,preferiblemente,{adv} (in preference)
preference,preferencia {f}; ; preferencia,{n} (bias); {n} (card game); {n} /ˈpɾɛf(ə)ɹ(ə)ns/ (liking)
preferences,,"{n} (plural of ""preference"")"
preferred,preferido,{adj} (favoured)
prefetch,prelectura,{v} ((computing) To load data or instructions in anticipation of their need)
prefix,prefijo {m},{n} /ˈpɹiːfɪks/ (letters at the beginning of a word)
pregnancy,embarazo {m},{n} (condition)
pregnant,"; embarazada {f}, embarazado {m}, preñada {f}, preñado {m}, encinta {f} (of humans), preñada {f}, preñado {m} (of animals)",{adj} (fertile); {adj} /ˈpɹɛɡnənt/ (carrying developing offspring within the body)
prehistoric,prehistórico,{adj} (of relating to the epoch before written record)
prehistory,prehistoria {f},{n} (history of human culture prior to written records)
prejudice,prejuicio {m}; prejuicio {m}; prejuicio {m},{n} (any preconceived opinion); {n} /ˈpɹɛd͡ʒudɪs/ (adverse judgement formed beforehand); {n}
prejudicial,prejudicial,"{adj} (causing harm or injury; detrimental, harmful or injurious)"
prelate,prelado {m},{n} /ˈprɛlət/ (clergyman)
premarital,premarital,{adj} (before one’s marriage)
premature birth,nacimiento prematuro {m},{n} (childbirth occurring earlier than 37 completed weeks of gestation)
premature ejaculation,eyaculación precoz {f},{n} (premature ejaculation)
premedication,premedicación {f},{n} (administration of a drug (or mixture of drugs) prior to an anesthetic)
premier,,{n} /pɹɛmɪə(ɹ)/ (prime minister of a country)
premiere,estreno {m},"{n} (first showing of a film, play or other form of entertainment)"
première,,{n} (premiere)
première danseuse,,{n} /pʁəmjɛʁ dɑ̃søz/ (lead female dancer)
premise,premisa {f}; premisa {f},"{n} (either of the first two propositions of a syllogism, from which the conclusion is deduced); {n} /ˈpɹɛ.mɪs/ (proposition antecedently supposed or proved)"
premonition,"presentimiento {m}, premonición {f}",{n} (strong intuition)
prenatal,prenatal,{adj} (being or happening before birth)
